aeroporto_partenza,mese,numero_ritardi_basso,dep_avg_basso,arr_avg_basso,numero_ritardi_medio,dep_avg_medio,arr_avg_medio,numero_ritardo_alto,dep_avg_alto,arr_avg_alto,cause_maggiori
IMT,12,33,-6.45,-9.79,11,30.0,35.0,11,239.0,154.6,"['Carrier (18 voli)', 'NAS (12 voli)', 'Weather (6 voli)']"
IND,1,2628,-2.75,-7.17,424,31.88,29.6,235,140.22,139.36,"['NAS (476 voli)', 'Carrier (367 voli)', 'Late Aircraft (345 voli)']"
IND,2,2824,-3.23,-9.87,291,30.28,26.19,127,170.55,171.17,"['NAS (276 voli)', 'Carrier (212 voli)', 'Late Aircraft (191 voli)']"
IND,3,3334,-3.02,-9.38,458,30.01,24.48,280,133.45,129.79,"['NAS (425 voli)', 'Late Aircraft (373 voli)', 'Carrier (316 voli)']"
IND,4,3295,-3.27,-9.12,348,29.68,23.54,198,149.84,146.82,"['NAS (298 voli)', 'Late Aircraft (274 voli)', 'Carrier (251 voli)']"
IND,5,3206,-2.1,-6.48,521,30.28,25.86,322,142.14,141.63,"['NAS (492 voli)', 'Late Aircraft (454 voli)', 'Carrier (423 voli)']"
IND,6,3257,-2.09,-6.69,506,30.99,26.12,306,140.62,137.39,"['NAS (470 voli)', 'Late Aircraft (439 voli)', 'Carrier (413 voli)']"
IND,7,3036,-2.3,-6.16,626,31.59,28.68,408,150.57,149.94,"['Late Aircraft (605 voli)', 'Carrier (600 voli)', 'NAS (574 voli)']"
IND,8,3083,-2.98,-7.21,419,31.73,28.55,251,152.57,151.86,"['NAS (462 voli)', 'Late Aircraft (372 voli)', 'Carrier (318 voli)']"
IND,9,3289,-3.8,-8.96,319,31.08,25.3,133,135.19,130.59,"['Late Aircraft (251 voli)', 'NAS (230 voli)', 'Carrier (203 voli)']"
IND,10,3850,-3.61,-9.63,328,29.57,20.63,118,151.23,143.76,"['Carrier (223 voli)', 'NAS (200 voli)', 'Late Aircraft (182 voli)']"
IND,11,3405,-3.55,-8.92,274,30.0,27.5,131,142.75,146.39,"['NAS (331 voli)', 'Carrier (209 voli)', 'Late Aircraft (180 voli)']"
IND,12,3098,-2.48,-8.44,426,30.77,26.0,241,145.55,141.61,"['NAS (430 voli)', 'Carrier (342 voli)', 'Late Aircraft (340 voli)']"
INL,1,36,-8.58,-16.25,3,32.33,25.0,2,120.5,106.0,"['Carrier (4 voli)', 'Weather (2 voli)']"
INL,2,29,-7.86,-21.34,3,22.67,17.0,3,104.0,84.67,"['Weather (5 voli)', 'Carrier (2 voli)', 'NAS (1 voli)']"
INL,3,46,-8.17,-14.89,4,30.25,24.0,2,116.5,130.5,"['Carrier (4 voli)', 'NAS (2 voli)', 'Weather (1 voli)']"
INL,4,39,-9.44,-20.05,1,54.0,37.0,2,501.5,493.5,"['Carrier (2 voli)', 'Weather (1 voli)']"
INL,5,47,-8.15,-17.77,2,31.0,30.0,3,170.0,161.33,"['Carrier (3 voli)', 'Weather (2 voli)', 'NAS (1 voli)']"
INL,6,36,-4.47,-1.25,10,33.7,37.9,6,176.17,186.83,"['NAS (14 voli)', 'Carrier (11 voli)', 'Weather (7 voli)']"
INL,7,47,-4.62,1.15,9,28.78,26.11,6,283.33,284.0,"['Carrier (14 voli)', 'NAS (9 voli)', 'Weather (5 voli)']"
INL,8,51,-7.18,-1.88,5,35.8,44.4,5,254.4,252.8,"['Carrier (7 voli)', 'NAS (7 voli)', 'Weather (5 voli)']"
INL,9,40,-9.45,-13.43,5,35.2,36.8,4,249.5,235.5,"['Carrier (5 voli)', 'NAS (2 voli)', 'Weather (1 voli)']"
INL,10,22,-8.68,-16.05,2,22.0,5.5,6,226.0,217.17,"['Carrier (7 voli)']"
INL,11,34,-8.32,-17.85,1,23.0,15.0,5,94.6,78.6,"['Carrier (5 voli)', 'Weather (1 voli)']"
INL,12,30,-7.43,-12.3,6,26.33,10.5,10,269.0,267.9,"['Carrier (11 voli)', 'NAS (6 voli)', 'Weather (6 voli)']"
ISP,1,335,-3.48,-6.16,72,30.65,30.97,32,173.69,173.25,"['NAS (81 voli)', 'Late Aircraft (67 voli)', 'Carrier (42 voli)']"
ISP,2,292,-3.28,-12.05,45,33.11,27.49,20,226.75,211.35,"['NAS (37 voli)', 'Late Aircraft (36 voli)', 'Carrier (24 voli)']"
ISP,3,290,-1.56,-11.06,70,35.16,26.93,58,115.31,109.98,"['Late Aircraft (79 voli)', 'NAS (56 voli)', 'Carrier (32 voli)']"
ISP,4,298,-1.32,-12.09,56,32.75,23.59,38,163.71,161.37,"['Late Aircraft (62 voli)', 'Carrier (44 voli)', 'NAS (31 voli)']"
ISP,5,263,-1.81,-12.2,63,29.7,19.85,38,125.08,117.71,"['Late Aircraft (63 voli)', 'Carrier (39 voli)', 'NAS (27 voli)']"
ISP,6,265,-2.03,-12.82,57,29.96,18.54,35,138.97,129.03,"['Late Aircraft (47 voli)', 'Carrier (42 voli)', 'NAS (29 voli)']"
ISP,7,248,-0.12,-10.43,86,29.74,20.02,39,140.92,129.72,"['Late Aircraft (69 voli)', 'Carrier (69 voli)', 'NAS (37 voli)']"
ISP,8,242,-0.17,-5.05,57,28.32,25.25,55,138.02,132.22,"['Late Aircraft (84 voli)', 'NAS (72 voli)', 'Carrier (64 voli)']"
ISP,9,243,-2.13,-9.01,31,29.26,19.29,10,163.7,152.6,"['Late Aircraft (20 voli)', 'NAS (11 voli)', 'Carrier (11 voli)']"
ISP,10,207,-0.52,-11.03,35,24.26,12.74,9,119.33,103.67,"['Carrier (21 voli)', 'Late Aircraft (17 voli)', 'Weather (9 voli)']"
ISP,11,257,-1.86,-13.21,34,27.97,11.74,12,177.5,160.0,"['Late Aircraft (20 voli)', 'Carrier (17 voli)', 'NAS (5 voli)']"
ISP,12,281,-1.84,-7.6,86,31.48,24.81,49,163.9,154.76,"['Late Aircraft (78 voli)', 'Carrier (61 voli)', 'NAS (60 voli)']"
ITH,1,24,-5.75,-8.21,2,40.0,24.5,5,212.0,192.0,"['Weather (6 voli)', 'Late Aircraft (5 voli)', 'NAS (4 voli)']"
ITH,2,21,-5.62,-20.19,3,52.67,36.0,1,216.0,225.0,"['Late Aircraft (2 voli)', 'Weather (2 voli)', 'Carrier (1 voli)']"
ITH,3,28,-5.18,-17.21,3,26.33,3.0,7,139.29,121.43,"['Late Aircraft (5 voli)', 'Carrier (4 voli)', 'NAS (2 voli)']"
ITH,4,43,-6.28,-14.65,0,NULL,NULL,5,87.4,68.6,"['NAS (3 voli)', 'Late Aircraft (2 voli)', 'Weather (2 voli)']"
ITH,5,89,-4.97,-16.24,6,30.0,15.33,6,157.67,136.67,"['Carrier (5 voli)', 'NAS (5 voli)', 'Weather (4 voli)']"
ITH,6,42,-5.64,-9.57,6,36.67,38.83,4,112.25,101.0,"['NAS (13 voli)', 'Late Aircraft (7 voli)', 'Carrier (4 voli)']"
ITH,7,44,-6.09,-9.25,6,34.67,40.17,10,168.1,176.7,"['NAS (14 voli)', 'Late Aircraft (9 voli)', 'Carrier (7 voli)']"
ITH,8,59,-5.85,-15.29,4,24.5,18.0,9,128.22,140.56,"['NAS (13 voli)', 'Late Aircraft (7 voli)', 'Weather (5 voli)']"
ITH,9,50,-7.64,-17.72,1,17.0,10.0,1,461.0,453.0,"['Weather (1 voli)']"
ITH,10,56,-7.05,-15.2,1,55.0,48.0,2,148.0,140.5,"['Late Aircraft (2 voli)', 'Carrier (1 voli)']"
ITH,11,55,-7.2,-17.53,0,NULL,NULL,1,73.0,126.0,"['NAS (2 voli)', 'Carrier (1 voli)', 'Late Aircraft (1 voli)']"
ITH,12,41,-5.05,-11.54,2,35.5,31.5,5,350.8,339.4,"['Late Aircraft (3 voli)', 'Carrier (3 voli)', 'NAS (3 voli)']"
ITO,1,494,-2.68,0.62,77,28.83,33.09,20,95.5,99.05,"['Late Aircraft (88 voli)', 'Carrier (72 voli)', 'Weather (36 voli)']"
ITO,2,512,-2.61,-1.63,28,27.04,29.5,7,92.29,94.14,"['Late Aircraft (37 voli)', 'Carrier (36 voli)', 'Weather (4 voli)']"
ITO,3,514,-1.43,-2.48,53,23.26,20.6,6,135.17,134.67,"['Late Aircraft (36 voli)', 'Carrier (32 voli)', 'NAS (5 voli)']"
ITO,4,510,-1.77,-3.39,50,27.24,25.76,11,102.09,100.82,"['Late Aircraft (46 voli)', 'Carrier (37 voli)', 'NAS (5 voli)']"
ITO,5,472,-2.11,-1.06,70,31.87,32.19,27,98.89,103.44,"['Late Aircraft (97 voli)', 'Carrier (82 voli)', 'NAS (24 voli)']"
ITO,6,478,-2.18,-2.11,63,25.56,26.83,6,82.33,84.67,"['Late Aircraft (63 voli)', 'Carrier (51 voli)', 'NAS (9 voli)']"
ITO,7,508,-2.16,-3.41,44,26.18,24.57,14,109.0,107.0,"['Late Aircraft (43 voli)', 'Carrier (38 voli)', 'NAS (8 voli)']"
ITO,8,503,-2.92,-5.97,35,23.77,21.09,13,107.15,104.31,"['Carrier (32 voli)', 'Late Aircraft (32 voli)', 'Weather (27 voli)']"
ITO,9,510,-3.38,-4.9,27,25.63,23.85,2,84.0,82.0,"['Carrier (24 voli)', 'Late Aircraft (22 voli)', 'NAS (3 voli)']"
ITO,10,492,-1.76,-3.17,48,27.13,26.21,6,88.33,85.67,"['Late Aircraft (44 voli)', 'Carrier (42 voli)', 'NAS (10 voli)']"
ITO,11,502,-1.95,-4.03,37,29.16,26.35,2,81.5,83.0,"['Late Aircraft (35 voli)', 'Carrier (28 voli)', 'NAS (3 voli)']"
ITO,12,509,-1.59,-3.64,40,23.9,22.68,7,94.14,95.43,"['Late Aircraft (42 voli)', 'Carrier (39 voli)', 'Weather (7 voli)']"
JAC,1,334,-3.47,-7.83,87,33.16,26.14,53,192.85,182.28,"['Late Aircraft (75 voli)', 'Carrier (73 voli)', 'NAS (71 voli)']"
JAC,2,308,-3.01,-6.65,92,32.09,30.99,58,216.21,224.04,"['NAS (97 voli)', 'Carrier (72 voli)', 'Late Aircraft (67 voli)']"
JAC,3,347,-3.3,-6.84,67,27.75,21.42,69,270.78,266.64,"['NAS (87 voli)', 'Late Aircraft (69 voli)', 'Carrier (55 voli)']"
JAC,4,185,-5.17,-8.81,19,24.42,19.58,11,136.64,134.27,"['NAS (25 voli)', 'Carrier (16 voli)', 'Late Aircraft (13 voli)']"
JAC,5,259,-4.94,-6.36,21,36.76,32.4,28,164.86,165.14,"['NAS (49 voli)', 'Late Aircraft (28 voli)', 'Carrier (22 voli)']"
JAC,6,441,-3.31,-9.88,66,31.61,23.73,40,149.3,143.38,"['Carrier (50 voli)', 'Late Aircraft (49 voli)', 'NAS (46 voli)']"
JAC,7,486,-3.81,-8.84,77,32.31,26.51,74,181.3,173.71,"['Carrier (98 voli)', 'NAS (80 voli)', 'Late Aircraft (72 voli)']"
JAC,8,502,-3.57,-6.93,76,32.75,27.67,62,178.24,173.77,"['NAS (77 voli)', 'Late Aircraft (75 voli)', 'Carrier (65 voli)']"
