aeroporto_partenza,compagnia,numero_voli,ritardo_medio_partenza,ritardo_medio_arrivo,tasso_cancellazione,differenza,classifica
SDF,YX,6089,1.52,-1.70,1.0,-7.73,1
SDF,DL,2390,5.10,-1.68,0.9,-4.16,2
SDF,WN,5031,7.48,1.53,0.8,-1.77,3
SDF,MQ,1552,10.99,8.35,1.2,1.74,4
SDF,UA,819,11.47,6.31,1.0,2.22,5
SDF,9E,169,12.87,10.94,2.4,3.62,6
SDF,OO,1835,12.87,8.48,0.7,3.62,7
SDF,OH,1614,16.27,14.03,1.2,7.02,8
SDF,NK,840,19.17,12.95,1.5,9.92,9
SDF,AA,2538,19.63,17.75,2.0,10.38,10
SDF,G4,674,22.04,18.62,1.9,12.79,11
SEA,OO,26324,6.83,4.33,0.4,-2.98,1
SEA,DL,30341,8.72,2.82,0.6,-1.09,2
SEA,AS,76734,9.52,6.90,1.6,-0.29,3
SEA,UA,8746,11.10,5.96,1.8,1.29,4
SEA,MQ,481,14.29,5.37,0.0,4.48,5
SEA,WN,8056,14.68,7.46,0.2,4.87,6
SEA,NK,925,17.29,10.31,1.1,7.48,7
SEA,AA,5207,17.84,10.87,1.7,8.03,8
SEA,HA,741,20.68,18.29,2.6,10.87,9
SEA,F9,1419,20.74,16.19,2.0,10.93,10
SEA,B6,716,22.79,16.26,0.7,12.98,11
SFB,G4,9220,13.21,10.99,1.7,0.00,1
SFO,HA,742,5.88,4.80,2.4,-9.14,1
SFO,AS,11079,11.21,8.46,2.7,-3.80,2
SFO,UA,48909,12.61,4.41,1.5,-2.41,3
SFO,OO,31352,13.23,8.69,1.4,-1.79,4
SFO,DL,12236,15.59,6.67,0.7,0.57,5
SFO,B6,3783,17.11,11.45,0.5,2.09,6
SFO,MQ,50,17.54,8.24,0.0,2.52,7
SFO,WN,7429,21.55,15.08,0.5,6.53,8
SFO,AA,10082,22.55,16.48,1.0,7.54,9
SFO,F9,4533,33.14,30.64,2.1,18.12,10
SGF,9E,623,7.00,1.44,0.5,-9.73,1
SGF,DL,395,13.67,5.03,0.5,-3.06,2
SGF,MQ,3894,14.69,11.72,1.5,-2.04,3
SGF,G4,812,15.72,12.33,1.4,-1.01,4
SGF,OO,2418,20.33,15.23,1.0,3.60,5
SGF,OH,971,24.26,22.61,0.8,7.53,6
SGU,OO,2892,6.38,1.62,0.3,0.00,1
SHR,OO,677,4.07,4.72,2.1,0.00,1
SHV,9E,1160,5.16,-1.30,1.6,-7.52,1
SHV,MQ,832,12.16,7.11,1.8,-0.52,2
SHV,OO,613,13.98,8.65,1.0,1.30,3
SHV,G4,146,16.39,12.48,2.1,3.72,4
SHV,OH,1708,17.30,14.88,2.7,4.62,5
SIT,AS,1301,-0.72,-0.85,1.5,-3.16,1
SIT,OO,91,48.99,44.38,4.4,46.55,2
SJC,HA,652,-0.06,-4.76,0.9,-6.66,1
SJC,OO,8496,2.59,0.41,0.2,-4.02,2
SJC,MQ,359,2.73,-2.85,0.6,-3.88,3
SJC,AS,2755,2.77,-0.24,2.4,-3.84,4
SJC,UA,2027,4.81,-2.70,1.3,-1.79,5
SJC,DL,2117,5.42,-2.95,0.8,-1.18,6
SJC,WN,28517,7.53,1.51,0.5,0.92,7
SJC,F9,626,8.08,9.32,0.5,1.47,8
SJC,NK,2612,11.24,8.80,1.3,4.64,9
SJC,AA,1429,14.98,9.01,1.0,8.38,10
SJC,B6,155,41.18,29.54,1.9,34.57,11
SJT,MQ,725,11.43,9.48,1.9,-0.39,1
SJT,OO,359,12.62,11.90,2.2,0.80,2
SJU,DL,3475,8.57,5.64,0.4,-10.13,1
SJU,WN,3990,10.11,8.06,0.7,-8.59,2
SJU,UA,2970,13.47,11.25,1.6,-5.23,3
SJU,NK,4494,16.97,12.65,2.2,-1.73,4
SJU,MQ,16,18.50,19.07,0.0,-0.20,5
SJU,AA,3909,21.27,21.40,0.4,2.57,6
SJU,F9,5706,22.65,22.22,2.2,3.95,7
SJU,B6,9656,24.98,17.26,1.1,6.28,8
SLC,OO,30957,4.48,0.42,0.3,-5.06,1
SLC,AS,1213,6.55,4.08,1.9,-2.98,2
SLC,HA,216,7.28,2.24,0.0,-2.25,3
SLC,MQ,119,8.42,-4.53,0.0,-1.11,4
SLC,DL,53032,10.11,4.91,0.6,0.58,5
SLC,WN,11852,11.85,5.27,0.4,2.31,6
SLC,UA,3948,12.62,7.41,1.7,3.09,7
SLC,NK,1223,14.25,8.73,1.1,4.72,8
SLC,F9,3094,18.45,16.65,2.2,8.92,9
SLC,AA,3643,20.20,14.96,1.6,10.67,10
SLC,B6,1433,23.33,17.94,0.8,13.80,11
SLN,OO,697,11.99,9.13,2.3,0.00,1
SMF,MQ,235,2.47,-2.86,0.0,-6.60,1
SMF,OO,8526,5.02,1.82,0.4,-4.04,2
SMF,AS,1130,5.97,3.98,1.6,-3.10,3
SMF,DL,3152,6.62,-0.84,0.8,-2.45,4
SMF,UA,3881,7.15,1.10,1.5,-1.92,5
SMF,HA,929,7.97,6.04,0.9,-1.10,6
SMF,F9,816,8.08,8.52,1.5,-0.99,7
SMF,WN,30286,9.29,3.27,0.5,0.22,8
SMF,NK,1782,12.31,9.38,1.6,3.24,9
SMF,AA,3425,17.45,11.37,1.6,8.39,10
SMF,B6,364,52.09,45.96,1.4,43.02,11
SMX,G4,106,40.51,39.30,0.0,0.00,1
SNA,AS,4030,2.36,1.03,1.2,-8.60,1
SNA,NK,1221,6.63,4.37,1.8,-4.32,2
SNA,WN,14442,8.36,0.48,0.7,-2.60,3
SNA,UA,5722,8.41,2.48,0.7,-2.55,4
SNA,DL,4539,12.53,5.31,0.6,1.57,5
SNA,OO,4005,13.73,14.94,1.2,2.77,6
SNA,F9,1089,13.83,11.35,2.4,2.87,7
SNA,AA,6117,19.25,12.76,1.3,8.30,8
SNA,G4,1066,30.02,26.52,1.5,19.07,9
SPI,G4,106,24.40,21.57,1.9,0.00,1
SPN,UA,361,-0.92,-4.13,0.6,0.00,1
SPS,MQ,109,8.38,0.36,0.9,-3.63,1
SPS,OO,602,12.67,8.97,2.0,0.66,2
SRQ,G4,2452,7.44,4.97,4.0,-5.79,1
SRQ,WN,4220,10.69,5.48,3.8,-2.54,2
SRQ,DL,2954,11.40,7.76,3.2,-1.83,3
SRQ,UA,1642,12.11,8.03,3.2,-1.13,4
SRQ,YX,211,12.93,15.18,3.8,-0.31,5
SRQ,OH,368,16.85,12.69,4.6,3.61,6
SRQ,B6,729,18.85,16.52,4.1,5.62,7
SRQ,AA,2602,19.60,17.46,3.3,6.37,8
SRQ,MQ,15,24.64,12.64,6.7,11.41,9
SRQ,F9,512,27.89,28.48,4.7,14.66,10
SRQ,OO,50,64.20,64.73,2.0,50.97,11
STC,G4,119,17.99,8.87,1.7,0.00,1
STL,AS,718,5.33,2.28,1.3,-6.50,1
STL,YX,1977,5.86,0.30,1.4,-5.98,2
STL,9E,1421,5.87,-1.29,3.7,-5.97,3
STL,DL,5405,6.31,0.19,0.7,-5.53,4
STL,MQ,1746,11.38,7.79,2.1,-0.46,5
STL,WN,40958,11.54,5.27,0.8,-0.30,6
STL,UA,2972,14.90,12.29,1.3,3.07,7
STL,AA,7027,15.94,13.92,1.6,4.10,8
STL,OO,558,18.11,12.71,1.4,6.27,9
STL,OH,433,18.20,16.02,1.8,6.37,10
STL,F9,1069,27.36,22.60,3.0,15.52,11
STL,NK,414,30.59,25.04,4.1,18.75,12
STS,MQ,235,7.56,3.73,0.0,-2.53,1
STS,OO,2950,8.04,9.56,0.5,-2.05,2
STS,AS,313,9.36,10.07,1.0,-0.72,3
STS,AA,182,47.92,46.89,0.5,37.83,4
STT,UA,740,6.53,5.06,0.8,-11.77,1
STT,F9,70,10.01,23.00,2.9,-8.28,2
STT,NK,976,15.18,10.35,1.5,-3.12,3
STT,DL,830,17.10,14.56,0.7,-1.20,4
STT,B6,662,17.10,13.98,2.0,-1.19,5
STT,AA,1889,25.76,25.27,1.0,7.46,6
STX,F9,19,-0.79,8.11,0.0,-17.96,1
STX,DL,115,8.77,4.74,0.9,-8.40,2
STX,B6,20,10.75,13.55,0.0,-6.42,3
STX,NK,270,15.97,16.52,3.0,-1.20,4
STX,AA,730,19.58,20.04,0.7,2.40,5
SUN,OO,1917,10.88,7.91,1.1,0.00,1
SUX,OO,696,20.41,18.19,2.0,0.00,1
SWF,G4,356,28.02,22.68,2.0,0.00,1
SWO,MQ,161,7.09,2.80,0.6,-3.12,1
SWO,OO,550,11.13,8.23,2.5,0.93,2
SYR,YX,1298,4.95,1.54,2.1,-6.30,1
SYR,9E,1852,5.55,-0.87,2.7,-5.70,2
SYR,UA,907,5.79,3.89,0.9,-5.46,3
SYR,MQ,809,6.42,3.23,0.7,-4.83,4
SYR,DL,1096,9.05,1.09,0.9,-2.19,5
SYR,OO,1084,12.58,8.35,1.2,1.33,6
SYR,B6,1299,12.77,8.98,2.3,1.52,7
SYR,WN,812,13.40,6.44,0.6,2.15,8
SYR,AA,1610,16.57,12.76,1.2,5.32,9
SYR,OH,458,18.29,17.92,1.1,7.04,10
SYR,F9,444,21.65,16.66,4.1,10.40,11
SYR,G4,621,24.82,17.90,1.8,13.57,12
TLH,DL,1386,1.93,-4.33,1.0,-7.41,1
TLH,B6,291,7.72,2.13,2.1,-1.62,2
TLH,9E,624,10.35,8.70,2.4,1.01,3
TLH,MQ,2795,10.42,8.93,1.6,1.09,4
TLH,OH,890,16.97,14.52,2.4,7.64,5
